titulo,preco,preco_antigo,desconto,link
Notbook Asus Rog Ryzen 9 Gforce Rtx G14 Edição Limitada Dj Preto,13.900,,,https://www.mercadolivre.com.br/notbook-asus-rog-ryzen-9-gforce-rtx-g14-edicao-limitada-dj/up/MLBU1729857203#polycard_client=search-desktop&search_layout=grid&position=11&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB3450637579&sid=search
Notbook Hp Compacto Pavilion Dm1 Ddr3 Prateado,190,,,https://www.mercadolivre.com.br/notbook-hp-compacto-pavilion-dm1-ddr3/up/MLBU3741053903#polycard_client=search-desktop&search_layout=grid&position=12&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB4434699635&sid=search
Notbook Hp Victus Gamer Rtl8852be Quebrado Preto,1.999,,,https://www.mercadolivre.com.br/notbook-hp-victus-gamer-rtl8852be-quebrado/up/MLBU3547396662#polycard_client=search-desktop&search_layout=grid&position=13&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB5911431668&sid=search
Notbook Acer Aspire 3 A315-58,1.600,,,https://produto.mercadolivre.com.br/MLB-4412684377-notbook-acer-aspire-3-a315-58-_JM?searchVariation=189171894710#polycard_client=search-desktop&searchVariation=189171894710&search_layout=grid&position=14&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Notbook Positivo Sim+ Para Peças (leiam) Cinza,190,,,https://www.mercadolivre.com.br/notbook-positivo-sim-para-pecas-leiam/up/MLBU3761345783#polycard_client=search-desktop&search_layout=grid&position=15&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB6214279026&sid=search
Notbook Itautec Infoway N3330 Sucata #av Preto,100,,,https://www.mercadolivre.com.br/notbook-itautec-infoway-n3330-sucata-av/up/MLBU3621163279#polycard_client=search-desktop&search_layout=grid&position=16&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB4325278155&sid=search
Notbook Sony Vaio Pcg 3bel Sucata #av Cinza,120,,,https://www.mercadolivre.com.br/notbook-sony-vaio-pcg-3bel-sucata-av/up/MLBU3632328454#polycard_client=search-desktop&search_layout=grid&position=17&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB4327216455&sid=search
Netbook Hp Sem Carregador Ideal Para Reposição De Peças Preto,199,,,https://www.mercadolivre.com.br/netbook-hp-sem-carregador-ideal-para-reposicao-de-pecas/up/MLBU3772934037#polycard_client=search-desktop&search_layout=grid&position=18&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB6230997704&sid=search
Notbook Sansung 550 Xed Com Defeito Azul,1.200,,,https://www.mercadolivre.com.br/notbook-sansung-550-xed-com-defeito/up/MLBU3540002299#polycard_client=search-desktop&search_layout=grid&position=19&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB5911428580&sid=search
"Notbook Hp Pavilon Dv 6000 / P/ Peças, Não Liga Preto",199,,,https://www.mercadolivre.com.br/notbook-hp-pavilon-dv-6000--p-pecas-nao-liga/up/MLBU3346213970#polycard_client=search-desktop&search_layout=grid&position=20&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB4148885013&sid=search
